fdc_id,description,brand_owner,brand_name,ingredients,serving_size,serving_size_unit,food_category,search_category
2461174,"WHEAT BREAD, WHEAT","Bimbo Bakeries USA, Inc.",SELECT,"ENRICHED WHEAT FLOUR [FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], WATER, WHOLE WHEAT FLOUR, YEAST, SUGAR, VEGETABLE OIL (SOYBEAN), WHEAT GLUTEN, SALT, WHEAT BRAN, MOLASSES, CALCIUM PROPIONATE (PRESERVATIVE), DATEM, MONOGLYCERIDES, SOY LECITHIN, CITRIC ACID, GRAIN VINEGAR, POTASSIUM IODATE, MONOCALCIUM PHOSPHATE.",41.0,g,Breads & Buns,wheat
2162090,"WHEAT BREAD, WHEAT",The Moran Group Incorporated,SAVE A LOT,"ENRICHED WHEAT FLOUR (FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE [VITAMIN B], RIBOFLAVIN [VITAMIN B2], FOLIC ACID), WATER, WHOLE WHEAT FLOUR, SUGAR, YEAST, SOYBEAN OIL, WHEAT BRAN, WHEAT GLUTEN, SALT, MOLASSES, CALCIUM PROPIONATE (PRESERVATIVE). DATEM, MONOGLYCERIDES CALCIUM SULFLE SOY LEOTAIN, CITRIC ACID, GRAIN VINEGAR, POTASSIUM IODATE MONOCALCIUM PHOSPHATE.",26.0,g,Breads & Buns,wheat
2486543,"WHEAT BREAD, WHEAT","Bimbo Bakeries USA, Inc.",GOLDEN BAKE,"ENRICHED WHEAT FLOUR [FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], WATER, WHOLE WHEAT FLOUR, SUGAR, YEAST, VEGETABLE OIL (SOYBEAN), WHEAT BRAN, WHEAT GLUTEN, SALT, MOLASSES, CALCIUM PROPIONATE (PRESERVATIVE), DATEM, MONOGLYCERIDES, SOY LECITHIN, CITRIC ACID, GRAIN VINEGAR, POTASSIUM IODATE, MONOCALCIUM PHOSPHATE.",26.0,g,Breads & Buns,wheat
2659727,"WHEAT BREAD, WHEAT","Meijer, Inc.",MEIJER,"ENRICHED UNBLEACHED FLOUR [WHEAT FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, THIAMINE MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), NIACIN (VITAMIN B3), FOLIC ACID], WATER, WHOLE GRAIN WHEAT FLOUR, YEAST, HIGH FRUCTOSE CORN SYRUP, SOYBEAN OIL, WHEAT BRAN, SALT, WHEAT GLUTEN, MOLASSES MONOGLYCERIDES, SODIUM STEAROYL LACTYLATE, CALCIUM PROPIONATE (A PRESERVATIVE), CARAMEL COLOR, VINEGAR, CALCIUM SULFATE, CITRIC ACID, ASCORBIC ACID, SOY LECITHIN.",45.0,GRM,Breads & Buns,wheat
1948801,"WHEAT BREAD, WHEAT",The Kroger Co.,GOOD TO DOUGH,"ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, WHOLE WHEAT FLOUR, HIGH FRUCTOSE CORN SYRUP, YEAST. CONTAINS 2% OR LESS OF: SALT, MOLASSES, SOYBEAN OIL, CARAMEL COLOR, WHEAT GLUTEN, SOY FLOUR, SODIUM STEAROYL LACTYLATE, AMMONIUM SULFATE, CALCIUM SULFATE, ASCORBIC ACID, ENZYMES, CALCIUM PROPIONATE (PRESERVATIVE).",27.0,g,Breads & Buns,wheat
2009341,"WHEAT BREAD, WHEAT","Supervalu, Inc.",ALBERTSONS,"UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, HONEY, HIGH FRUCTOSE CORN SYRUP, WHEAT GLUTEN, WHOLE WHEAT FLOUR, RYE FLOUR, WHEAT GLUTEN, WHOLE WHEAT FLOUR, RYE FLOUR, WHEAT BRAN, CONTAINS 2% OR LESS OF THE FOLLOWING: YEAST, SOY FLOUR, SALT, SOYBEAN OIL, DOUGH CONDITIONERS (CONTAINS ONE OR MORE OF THE FOLLOWING: SODIUM STEAROYL LACTYLATE, CALCIUM STEAROYL LACTYLATE, MONOGLYCERIDES, CALCIUM PEROXIDE, CALCIUM IODATE, DATEM, ETHOXYLATED MONO- AND DIGLYCERIDES, AZODICARBONAMIDE, ENZYMES, ASCORBIC ACID), CULTURED WHEAT FLOUR, VINEGAR, CALCIUM PEROXIDE, CALCIUM SULFATE, YEAST FOOD (AMMONIUM SULFATE), MONOCALCIUM PHOSPHATE, SOY LECITHIN, CALCIUM CARBONATE. ",47.0,g,Breads & Buns,wheat
2256862,"WHEAT BREAD, WHEAT","Bimbo Bakeries USA, Inc.",SARA LEE,"INGREDIENTS: ENRICHED WHEAT FLOUR [FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], WATER, WHOLE WHEAT FLOUR, WHEAT GLUTEN, CELLULOSE FIBER, WHEAT BRAN, MODIFIED WHEAT STARCH, SUGAR, YEAST, HONEY, SALT, PRESERVATIVES (CALCIUM PROPIONATE, SORBIC ACID), SOYBEAN OIL, NATURAL FLAVOR, MONOGLYCERIDES, DATEM, MONOCALCIUM PHOSPHATE, HONEY SOLIDS, CALCIUM SULFATE, CELLULOSE GUM, SOY LECITHIN, REB A (STEVIA LEAF SWEETENER), CITRIC ACID, GRAIN VINEGAR, POTASSIUM IODATE.",44.0,g,Breads & Buns,wheat
1955829,"WHEAT BREAD, WHEAT",The Kroger Co.,QFC,"UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, WHOLE WHEAT FLOUR, HIGH FRUCTOSE CORN SYRUP, YEAST. CONTAINS 2% OR LESS OF: SOYBEAN OIL, SALT, VITAL WHEAT GLUTEN, WHEAT BRAN, DRY MOLASSES (MOLASSES, WHEAT STARCH, SOY FLOUR), SODIUM STEAROYL LACTYLATE, MONOCALCIUM PHOSPHATE, SOY FLOUR, CALCIUM SULFATE, ENZYMES, ASCORBIC ACID, AMMONIUM SULFATE, CALCIUM PROPIONATE (PRESERVATIVE).",29.0,g,Breads & Buns,wheat
2476648,"WHEAT BREAD, WHEAT","Bimbo Bakeries USA, Inc.",OLD HOME,"ENRICHED WHEAT FLOUR [FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], WATER, WHOLE WHEAT FLOUR, YEAST, SUGAR, SOYBEAN OIL, WHEAT GLUTEN, SALT, WHEAT BRAN, MOLASSES, CALCIUM PROPIONATE (PRESERVATIVE), DATEM, MONOGLYCERIDES, CALCIUM SULFATE, SOY LECITHIN, CITRIC ACID, GRAIN VINEGAR, POTASSIUM IODATE, MONOCALCIUM PHOSPHATE.",41.0,g,Breads & Buns,wheat
2486616,"WHEAT BREAD, WHEAT",Smart & Final Iris Corporation,SIMPLY VALUE,"ENRICHED WHEAT FLOUR (FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE [VITAMIN B1], RIBOFLAVIN [VITAMIN B2], FOLIC ACID), WATER, WHOLE WHEAT FLOUR, YEAST, SUGAR, VEGETABLE OIL (SOYBEAN), WHEAT GLUTEN, SALT, WHEAT BRAN, MOLASSES, CALCIUM PROPIONATE (PRESERVATIVE), DATEM, MONOGLYCERIDES, SOY LECITHIN, CITRIC ACID, GRAIN VINEGAR, POTASSIUM IODATE, MONOCALCIUM PHOSPHATE.",41.0,g,Breads & Buns,wheat
