raw_term,frequency
salt,7934
water,5731
sugar,4906
citric acid,2423
riboflavin,1876
folic acid,1865
niacin,1713
wheat flour,1713
natural flavor,1435
reduced iron,1353
soybean oil,1273
sea salt,1234
soy lecithin,1217
spices,1189
thiamine mononitrate,1120
xanthan gum,1031
corn syrup,1007
dextrose,998
enzymes,964
yeast,886
natural flavors,850
garlic,818
vinegar,776
milk,753
canola oil,727
thiamin mononitrate,719
maltodextrin,709
palm oil,707
guar gum,698
ascorbic acid,695
cream,687
malted barley flour,680
corn starch,675
yeast extract,658
whey,622
sodium bicarbonate,611
high fructose corn syrup,608
onion powder,601
baking soda,600
caramel color,569
modified corn starch,555
garlic powder,552
monocalcium phosphate,546
vegetable oil,541
potassium sorbate,537
lactic acid,512
eggs,478
sodium acid pyrophosphate,475
onion,471
enriched wheat flour,454
leavening,439
spice,438
butter,417
honey,417
distilled vinegar,404
cornstarch,400
sunflower oil,399
red 40,387
modified food starch,384
cane sugar,371
onions,370
yellow 5,365
iron,359
carrots,357
paprika,351
blue 1,350
sodium benzoate,350
black pepper,349
cocoa butter,346
artificial flavor,345
wheat gluten,341
vitamin a palmitate,335
pasteurized milk,334
flour,329
calcium propionate,328
cellulose gum,323
tomato paste,323
calcium sulfate,321
celery,319
yellow 6,319
natural and artificial flavor,318
enriched flour,315
carrageenan,312
peanuts,312
sodium phosphate,311
sodium nitrite,306
filtered water,298
beef,291
lemon juice concentrate,291
brown sugar,290
nonfat milk,290
cheese cultures,288
mono- and diglycerides,286
skim milk,282
soybean,281
monosodium glutamate,276
turmeric,274
cheese culture,264
sodium citrate,263
molasses,262
natural and artificial flavors,258
wheat,258
almonds,254
corn,248
calcium chloride,246
preservatives,246
soybeans,246
olive oil,240
nonfat dry milk,239
pyridoxine hydrochloride,237
sodium erythorbate,237
bleached wheat flour,234
walnuts,234
cinnamon,229
monoglycerides,223
wheat starch,216
locust bean gum,214
pectin,214
carnauba wax,209
chocolate,209
pork,209
niacinamide,208
rice flour,208
spinach,207
mono and diglycerides,206
parsley,205
milk chocolate,204
potato starch,201
sodium stearoyl lactylate,201
carbonated water,200
rice,200
corn syrup solids,199
lactose,199
titanium dioxide,199
sodium diacetate,195
lemon juice,194
soy flour,194
for color,191
fumaric acid,185
baking powder,184
vitamin d3,183
beta carotene,182
broccoli,181
coconut oil,180
corn flour,180
egg whites,180
egg yolks,179
gum arabic,178
tomatoes,178
calcium disodium edta,176
dehydrated onion,175
whole wheat flour,175
carob bean gum,172
soy sauce,172
chicken fat,171
cashews,169
sodium aluminum phosphate,165
potatoes,164
calcium carbonate,163
ferrous sulfate,160
gum acacia,160
sardines,160
vitamin b12,160
confectioner's glaze,158
shrimp,158
ginger,157
milkfat,155
red 40 lake,155
invert sugar,154
annatto,153
extra virgin olive oil,153
food starch-modified,152
mayonnaise,152
polysorbate 60,151
sorbic acid,151
sodium ascorbate,150
datem,149
dehydrated garlic,149
disodium inosinate,149
modified cornstarch,149
vegetable shortening,149
tapioca starch,148
organic cane sugar,146
pineapple,144
malic acid,143
enzyme,142
palm,142
polysorbate 80,142
yellow 5 lake,142
blue 2,137
blueberries,137
disodium guanylate,135
whey powder,135
parmesan cheese,134
cheddar cheese,133
sodium tripolyphosphate,133
an emulsifier,131
gelatin,130
zinc oxide,129
sunflower lecithin,128
sunflower seeds,128
to preserve freshness,128
autolyzed yeast extract,127
carrot,127
to protect flavor,127
dextrin,126
palm kernel oil,124
yellow corn flour,124
avocado,123
cilantro,123
contains or less of: salt,123
flavoring,123
seasoning,123
rice vinegar,122
wheat bran,122
yellow 6 lake,122
artificial flavors,121
blue 2 lake,121
whole eggs,121
hydrolyzed soy protein,120
pasteurized cream,120
red 3,119
sodium phosphates,119
sucralose,119
canola,118
flavorings,118
potassium chloride,118
cod,117
whey protein concentrate,117
margarine,116
mustard seed,116
cultures,115
enriched bleached flour,115
potassium lactate,115
chickpeas,113
natural flavoring,112
egg yolk,110
vitamin d,109
corn oil,108
buttermilk,106
cream cheese,106
strawberries,106
chicken broth,105
sodium propionate,105
alcohol,104
vanilla extract,104
annatto extract,103
contains less than of salt,103
sorbitol,103
potato flour,102
tomato puree,102
apple juice concentrate,100
dough conditioner,100
peanut oil,100
hydrolyzed corn protein,99
apples,98
cottonseed,98
egg,98
sodium aluminum sulfate,97
soy,96
artificial color,95
red pepper,95
bread crumbs,94
pineapple juice,94
mustard,93
disodium phosphate,92
dried garlic,92
fruit pectin,91
sesame seeds,91
chocolate liquor,90
cucumber,90
lentils,90
silicon dioxide,89
raisins,88
to maintain freshness,88
